레벨,유형,표시,관항,목,세목,구분,사업명,부서,현재예산(원),기정예산(원),증감(원),현재예산(천원),기정예산(천원),증감(천원)
0,총합,사업비 총합,,,,,,,"22,641,500,000",0,"22,641,500,000","22,641,500",0,"22,641,500"
1,관항소계,  100 관항 소계,100,,,,,,"2,280,000,000",0,"2,280,000,000","2,280,000",0,"2,280,000"
2,목소계,    101 목 소계,100,101,,,,,"2,280,000,000",0,"2,280,000,000","2,280,000",0,"2,280,000"
3,세목소계,      101-01 세목 소계,100,101,101-01,,,,"2,280,000,000",0,"2,280,000,000","2,280,000",0,"2,280,000"
4,사업,        충남콘텐츠진흥원 운영,100,101,101-01,기관운영,충남콘텐츠진흥원 운영,경영혁신본부,"2,280,000,000",0,"2,280,000,000","2,280,000",0,"2,280,000"
1,관항소계,  200 관항 소계,200,,,,,,"11,241,500,000",0,"11,241,500,000","11,241,500",0,"11,241,500"
2,목소계,    201 목 소계,200,201,,,,,"11,241,500,000",0,"11,241,500,000","11,241,500",0,"11,241,500"
3,세목소계,      201-01 세목 소계,200,201,201-01,,,,"11,241,500,000",0,"11,241,500,000","11,241,500",0,"11,241,500"
4,사업,        그린스타트업타운 운영,200,201,201-01,,그린스타트업타운 운영,벤처창업본부,"2,494,000,000",0,"2,494,000,000","2,494,000",0,"2,494,000"
4,사업,        미래 게임 발굴 창작자 양성,200,201,201-01,,미래 게임 발굴 창작자 양성,미래산업본부,"100,000,000",0,"100,000,000","100,000",0,"100,000"
4,사업,        지역기반형 콘텐츠코리아랩 운영,200,201,201-01,,지역기반형 콘텐츠코리아랩 운영,AI콘텐츠본부,"993,500,000",0,"993,500,000","993,500",0,"993,500"
4,사업,        지역특화콘텐츠 개발,200,201,201-01,,지역특화콘텐츠 개발,사업총괄실,"1,145,000,000",0,"1,145,000,000","1,145,000",0,"1,145,000"
4,사업,        창작스튜디오운영,200,201,201-01,,창작스튜디오운영,AI콘텐츠본부,"140,000,000",0,"140,000,000","140,000",0,"140,000"
4,사업,        창조문화산업지원센터창업지원,200,201,201-01,,창조문화산업지원센터창업지원,벤처창업본부,"30,000,000",0,"30,000,000","30,000",0,"30,000"
4,사업,        충남 디지털·게임기업 육성,200,201,201-01,,충남 디지털·게임기업 육성,미래산업본부,"530,000,000",0,"530,000,000","530,000",0,"530,000"
4,사업,        충남 영상·영화산업 육성,200,201,201-01,,충남 영상·영화산업 육성,AI콘텐츠본부,"640,000,000",0,"640,000,000","640,000",0,"640,000"
4,사업,        충남 웹툰산업 육성 및 활성화,200,201,201-01,,충남 웹툰산업 육성 및 활성화,AI콘텐츠본부,"130,000,000",0,"130,000,000","130,000",0,"130,000"
4,사업,        충남 음악창작소 운영,200,201,201-01,,충남 음악창작소 운영,AI콘텐츠본부,"780,000,000",0,"780,000,000","780,000",0,"780,000"
4,사업,        충남 이스포츠 메카 조성,200,201,201-01,,충남 이스포츠 메카 조성,미래산업본부,"540,000,000",0,"540,000,000","540,000",0,"540,000"
4,사업,        충남글로벌게임센터 운영,200,201,201-01,,충남글로벌게임센터 운영,미래산업본부,"2,060,000,000",0,"2,060,000,000","2,060,000",0,"2,060,000"
4,사업,        충남메타버스지원센터 운영,200,201,201-01,,충남메타버스지원센터 운영,미래산업본부,"854,000,000",0,"854,000,000","854,000",0,"854,000"
4,사업,        충남콘텐츠기업지원센터 운영,200,201,201-01,,충남콘텐츠기업지원센터 운영,미래산업본부,"790,000,000",0,"790,000,000","790,000",0,"790,000"
4,사업,        충남콘텐츠산업성장위원회 운영,200,201,201-01,,충남콘텐츠산업성장위원회 운영,사업총괄실,"15,000,000",0,"15,000,000","15,000",0,"15,000"
1,관항소계,  400 관항 소계,400,,,,,,"9,120,000,000",0,"9,120,000,000","9,120,000",0,"9,120,000"
2,목소계,    401 목 소계,400,401,,,,,"9,120,000,000",0,"9,120,000,000","9,120,000",0,"9,120,000"
3,세목소계,      401-01 세목 소계,400,401,401-01,,,,"9,120,000,000",0,"9,120,000,000","9,120,000",0,"9,120,000"
4,사업,        천안시 거점형 스마트도시 조성,400,401,401-01,,천안시 거점형 스마트도시 조성,벤처창업본부,"1,694,000,000",0,"1,694,000,000","1,694,000",0,"1,694,000"
4,사업,        충남 이스포츠 상설경기장 구축 지원,400,401,401-01,,충남 이스포츠 상설경기장 구축 지원,미래산업본부,"7,426,000,000",0,"7,426,000,000","7,426,000",0,"7,426,000"
1,관항소계,  700 관항 소계,700,,,,,,0,0,0,0,0,0
2,목소계,    751 목 소계,700,751,,,,,0,0,0,0,0,0
3,세목소계,      751-03 세목 소계,700,751,751-03,,,,0,0,0,0,0,0
4,사업,        반환금,700,751,751-03,반환금,반환금,경영혁신본부,0,0,0,0,0,0
1,관항소계,  800 관항 소계,800,,,,,,0,0,0,0,0,0
2,목소계,    801 목 소계,800,801,,,,,0,0,0,0,0,0
3,세목소계,      801-01 세목 소계,800,801,801-01,,,,0,0,0,0,0,0
4,사업,        예비비,800,801,801-01,예비비,예비비,경영혁신본부,0,0,0,0,0,0
