레벨,과목,현재예산(원),기정예산(원),증감(원),현재예산(천원),기정예산(천원),증감(천원),산출기초
0,(재) 충남콘텐츠진흥원,"24,057,912,270","22,641,500,000","1,416,412,270","24,057,912","22,641,500","1,416,412",
1,  600 사업수익,"24,057,912,270","22,641,500,000","1,416,412,270","24,057,912","22,641,500","1,416,412",
2,    610 영업수익,"24,057,912,270","22,641,500,000","1,416,412,270","24,057,912","22,641,500","1,416,412",
3,      646 보조금수익,"6,435,500,000","6,145,500,000","290,000,000","6,435,500","6,145,500","290,000",
4,        646-01 국비보조금수익,"5,240,000,000","4,950,000,000","290,000,000","5,240,000","4,950,000","290,000","○ 목적사업 5,240,000,000원
  - 국비          :  4,950,000,000원 ⇨ 5,240,000,000원
    * 지역기반형 콘텐츠코리아랩 운영 : 3,000,000원
    * 지역특화콘텐츠 개발 : 300,000,000원
    * 충남 음악창작소 운영 : 20,000,000원
    * 충남메타버스지원센터 운영 : -33,000,000원"
3,      648 출연금수익,"16,463,000,000","16,496,000,000","-33,000,000","16,463,000","16,496,000","-33,000",
4,        648-02 자치단체출연금수익,"16,463,000,000","16,496,000,000","-33,000,000","16,463,000","16,496,000","-33,000","○ 목적사업 14,183,000,000원
  - 도비          :  11,056,000,000원 ⇨ 11,023,000,000원
    * 충남메타버스지원센터 운영 : -33,000,000원"
1,  100 자본적수입,0,0,0,0,0,0,
2,    180 유보자금,0,0,0,0,0,0,
3,      181 잉여금,0,0,0,0,0,0,
4,        181-01 순세계잉여금,0,0,0,0,0,0,수기작성
4,        181-02 보조금사용잔액,0,0,0,0,0,0,수기작성
